type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,1
2,0,0,0,0,0
3,1,1,85,2,1
3,1,2,90,4,1
3,1,4,92,2,1
3,1,7,42,22,1
3,1,7,61,13,1
3,1,7,66,15,1
3,1,7,70,15,1
3,1,7,78,20,1
3,1,7,94,12,1
3,1,12,49,21,1
3,1,12,70,8,1
3,2,6,54,20,1
3,2,6,73,7,1
3,2,6,92,8,1
3,2,12,61,9,1
3,2,12,70,19,1
3,3,6,66,12,1
3,3,6,70,12,1
3,3,6,97,9,1
3,4,5,61,9,1
3,5,2,65,2,1
3,5,3,85,3,1
3,5,4,73,17,1
3,5,5,89,1,1
3,5,6,46,21,1
3,5,6,61,13,1
3,5,6,65,13,1
3,5,7,92,10,1
3,5,12,68,7,1
3,6,5,58,13,1
3,6,6,73,7,1
3,6,6,89,9,1
3,6,12,61,5,1
3,6,12,68,19,1
3,7,6,61,13,1
3,7,6,65,15,1
3,7,6,97,11,1
3,8,5,58,19,1
3,9,5,78,6,1
3,9,5,82,6,1
3,9,6,39,20,1
3,9,6,63,15,1
3,9,6,66,15,1
3,9,6,75,20,1
3,9,6,87,5,1
3,9,12,46,19,1
3,9,12,82,11,1
3,9,12,85,4,1
3,10,6,51,14,1
3,10,6,99,5,1
3,10,12,58,7,1
3,10,12,85,5,1
3,11,6,63,13,1
3,11,6,66,13,1
3,11,6,82,15,1
3,11,6,97,5,1
3,11,12,51,4,1
3,12,6,58,12,1
3,12,6,94,9,1
3,13,3,85,3,1
3,13,4,89,2,1
3,13,5,37,23,1
3,13,5,61,16,1
3,13,5,65,15,1
3,13,6,73,22,1
3,13,6,92,15,1
3,13,12,44,21,1
3,14,5,49,20,1
3,14,6,77,12,1
3,14,6,94,7,1
3,14,11,56,8,1
3,15,6,61,18,1
3,15,6,65,18,1
3,15,6,80,15,1
3,15,6,97,10,1
3,16,6,56,11,1
3,17,6,42,15,1
3,17,6,73,6,1
3,17,12,49,15,1
3,18,3,70,4,1
3,18,6,61,7,1
3,18,6,73,6,1
3,18,12,58,14,1
3,18,12,70,7,1
3,19,6,41,17,1
3,19,6,73,8,1
3,19,12,49,13,1
3,20,6,61,12,1
3,20,6,73,5,1
3,20,12,56,7,1
3,20,12,80,5,1
3,21,6,39,15,1
3,21,6,78,8,1
3,21,12,46,12,1
3,22,3,70,2,1
3,22,6,54,8,1
3,22,6,70,6,1
3,22,12,58,6,1
3,22,12,75,5,1
3,23,6,46,17,1
3,23,6,73,15,1
3,23,12,53,13,1
3,24,6,61,11,1
3,25,6,47,15,1
3,25,6,75,7,1
3,25,12,54,11,1
3,26,3,73,2,1
3,26,6,59,6,1
3,26,6,75,3,1
3,26,12,63,7,1
3,26,12,75,3,1
3,27,6,46,15,1
3,27,6,73,5,1
3,27,12,53,12,1
3,28,6,61,12,1
3,28,6,66,7,1
3,28,12,65,6,1
3,28,12,70,5,1
