Start of song
Instrument: piano
Start of notes
Note: beat=0, position=0, pitch=C6, duration=2, instrument=piano
Note: beat=0, position=1, pitch=F6, duration=4, instrument=piano
Note: beat=0, position=3, pitch=G6, duration=2, instrument=piano
Note: beat=0, position=6, pitch=F2, duration=42, instrument=piano
Note: beat=0, position=6, pitch=C4, duration=15, instrument=piano
Note: beat=0, position=6, pitch=F4, duration=18, instrument=piano
Note: beat=0, position=6, pitch=A4, duration=18, instrument=piano
Note: beat=0, position=6, pitch=F5, duration=36, instrument=piano
Note: beat=0, position=6, pitch=A6, duration=12, instrument=piano
Note: beat=0, position=11, pitch=C3, duration=40, instrument=piano
Note: beat=0, position=11, pitch=A4, duration=8, instrument=piano
Note: beat=1, position=5, pitch=F3, duration=36, instrument=piano
Note: beat=1, position=5, pitch=C5, duration=7, instrument=piano
Note: beat=1, position=5, pitch=G6, duration=8, instrument=piano
Note: beat=1, position=11, pitch=C4, duration=9, instrument=piano
Note: beat=1, position=11, pitch=A4, duration=30, instrument=piano
Note: beat=2, position=5, pitch=F4, duration=12, instrument=piano
Note: beat=2, position=5, pitch=A4, duration=12, instrument=piano
Note: beat=2, position=5, pitch=C7, duration=9, instrument=piano
Note: beat=3, position=4, pitch=C4, duration=9, instrument=piano
Note: beat=4, position=1, pitch=E4, duration=2, instrument=piano
Note: beat=4, position=2, pitch=C6, duration=3, instrument=piano
Note: beat=4, position=3, pitch=C5, duration=21, instrument=piano
Note: beat=4, position=4, pitch=E6, duration=1, instrument=piano
Note: beat=4, position=5, pitch=A2, duration=40, instrument=piano
Note: beat=4, position=5, pitch=C4, duration=15, instrument=piano
Note: beat=4, position=5, pitch=E4, duration=15, instrument=piano
Note: beat=4, position=6, pitch=G6, duration=10, instrument=piano
Note: beat=4, position=11, pitch=G4, duration=7, instrument=piano
Note: beat=5, position=4, pitch=A3, duration=15, instrument=piano
Note: beat=5, position=5, pitch=C5, duration=7, instrument=piano
Note: beat=5, position=5, pitch=E6, duration=9, instrument=piano
Note: beat=5, position=11, pitch=C4, duration=5, instrument=piano
Note: beat=5, position=11, pitch=G4, duration=30, instrument=piano
Note: beat=6, position=5, pitch=C4, duration=15, instrument=piano
Note: beat=6, position=5, pitch=E4, duration=18, instrument=piano
Note: beat=6, position=5, pitch=C7, duration=11, instrument=piano
Note: beat=7, position=4, pitch=A3, duration=30, instrument=piano
Note: beat=8, position=4, pitch=F5, duration=6, instrument=piano
Note: beat=8, position=4, pitch=A5, duration=6, instrument=piano
Note: beat=8, position=5, pitch=D2, duration=36, instrument=piano
Note: beat=8, position=5, pitch=D4, duration=18, instrument=piano
Note: beat=8, position=5, pitch=F4, duration=18, instrument=piano
Note: beat=8, position=5, pitch=D5, duration=36, instrument=piano
Note: beat=8, position=5, pitch=D6, duration=5, instrument=piano
Note: beat=8, position=11, pitch=A2, duration=30, instrument=piano
Note: beat=8, position=11, pitch=A5, duration=11, instrument=piano
Note: beat=8, position=11, pitch=C6, duration=4, instrument=piano
Note: beat=9, position=5, pitch=D3, duration=16, instrument=piano
Note: beat=9, position=5, pitch=D7, duration=5, instrument=piano
Note: beat=9, position=11, pitch=A3, duration=7, instrument=piano
Note: beat=9, position=11, pitch=C6, duration=5, instrument=piano
Note: beat=10, position=5, pitch=D4, duration=15, instrument=piano
Note: beat=10, position=5, pitch=F4, duration=15, instrument=piano
Note: beat=10, position=5, pitch=A5, duration=18, instrument=piano
Note: beat=10, position=5, pitch=C7, duration=5, instrument=piano
Note: beat=10, position=11, pitch=D3, duration=4, instrument=piano
Note: beat=11, position=5, pitch=A3, duration=12, instrument=piano
Note: beat=11, position=5, pitch=A6, duration=9, instrument=piano
Note: beat=12, position=2, pitch=C6, duration=3, instrument=piano
Note: beat=12, position=3, pitch=E6, duration=2, instrument=piano
Note: beat=12, position=4, pitch=C2, duration=48, instrument=piano
Note: beat=12, position=4, pitch=C4, duration=20, instrument=piano
Note: beat=12, position=4, pitch=E4, duration=18, instrument=piano
Note: beat=12, position=5, pitch=C5, duration=42, instrument=piano
Note: beat=12, position=5, pitch=G6, duration=18, instrument=piano
Note: beat=12, position=11, pitch=G2, duration=40, instrument=piano
Note: beat=13, position=4, pitch=C3, duration=36, instrument=piano
Note: beat=13, position=5, pitch=E5, duration=12, instrument=piano
Note: beat=13, position=5, pitch=A6, duration=7, instrument=piano
Note: beat=13, position=10, pitch=G3, duration=8, instrument=piano
Note: beat=14, position=5, pitch=C4, duration=24, instrument=piano
Note: beat=14, position=5, pitch=E4, duration=24, instrument=piano
Note: beat=14, position=5, pitch=G5, duration=18, instrument=piano
Note: beat=14, position=5, pitch=C7, duration=10, instrument=piano
Note: beat=15, position=5, pitch=G3, duration=11, instrument=piano
Note: beat=16, position=5, pitch=F2, duration=18, instrument=piano
Note: beat=16, position=5, pitch=C5, duration=6, instrument=piano
Note: beat=16, position=11, pitch=C3, duration=18, instrument=piano
Note: beat=17, position=2, pitch=A4, duration=4, instrument=piano
Note: beat=17, position=5, pitch=C4, duration=7, instrument=piano
Note: beat=17, position=5, pitch=C5, duration=6, instrument=piano
